,Media,Positive score,Neutral score,Negative score,Compound score,Date Created,Tweets Ago
73,CNN,0.0,1.0,0.0,0.0,2018-08-28 21:20:09+00:00,-73
74,CNN,0.107,0.711,0.182,-0.4019,2018-08-28 21:15:03+00:00,-74
75,CNN,0.0,0.823,0.177,-0.6249,2018-08-28 21:10:07+00:00,-75
76,CNN,0.0,1.0,0.0,0.0,2018-08-28 21:00:14+00:00,-76
77,CNN,0.156,0.844,0.0,0.3612,2018-08-28 20:55:04+00:00,-77
78,CNN,0.258,0.742,0.0,0.7096,2018-08-28 20:50:04+00:00,-78
79,CNN,0.0,0.878,0.122,-0.3612,2018-08-28 20:40:04+00:00,-79
80,CNN,0.0,0.87,0.13,-0.5095,2018-08-28 20:38:51+00:00,-80
81,CNN,0.213,0.787,0.0,0.5574,2018-08-28 20:30:07+00:00,-81
82,CNN,0.28,0.72,0.0,0.7906,2018-08-28 20:25:00+00:00,-82
83,CNN,0.242,0.758,0.0,0.5859,2018-08-28 20:20:44+00:00,-83
84,CNN,0.0,0.723,0.277,-0.7845,2018-08-28 20:20:04+00:00,-84
85,CNN,0.111,0.889,0.0,0.25,2018-08-28 20:16:54+00:00,-85
86,CNN,0.0,1.0,0.0,0.0,2018-08-28 20:10:10+00:00,-86
87,CNN,0.194,0.806,0.0,0.5859,2018-08-28 20:05:03+00:00,-87
88,CNN,0.0,0.72,0.28,-0.765,2018-08-28 20:00:12+00:00,-88
89,CNN,0.0,0.714,0.286,-0.7184,2018-08-28 19:40:09+00:00,-89
90,CNN,0.0,0.833,0.167,-0.6369,2018-08-28 19:30:07+00:00,-90
91,CNN,0.0,1.0,0.0,0.0,2018-08-28 19:20:07+00:00,-91
92,CNN,0.076,0.763,0.161,-0.2732,2018-08-28 19:11:18+00:00,-92
93,CNN,0.111,0.889,0.0,0.3612,2018-08-28 19:10:38+00:00,-93
94,CNN,0.12,0.88,0.0,0.2924,2018-08-28 19:10:05+00:00,-94
